Date,Tỉnh,Number,Buổi
2021-07-05,TP. Hồ Chí Minh,175,Sáng
2021-07-05,Đồng Tháp,100,Sáng
2021-07-05,Phú Yên,23,Sáng
2021-07-05,Hưng Yên,9,Sáng
2021-07-05,Khánh Hòa,8,Sáng
2021-07-05,An Giang,6,Sáng
2021-07-05,Long An,2,Sáng
2021-07-05,Bắc Ninh,2,Sáng
2021-07-05,Lạng Sơn,1,Sáng
2021-07-05,Đồng Nai,1,Sáng
2021-07-05,Sóc Trăng,1,Sáng
2021-07-05,TP. Hồ Chí Minh,196,Trưa
2021-07-05,Bình Dương,17,Trưa
2021-07-05,Long An,13,Trưa
2021-07-05,Phú Yên,6,Trưa
2021-07-05,Bắc Giang,4,Trưa
2021-07-05,Vĩnh Long,3,Trưa
2021-07-05,Đồng Tháp,3,Trưa
2021-07-05,Quảng Ngãi,2,Trưa
2021-07-05,Hà Tĩnh,2,Trưa
2021-07-05,Bắc Ninh,1,Trưa
2021-07-05,Trà Vinh,12,Tối
2021-07-05,Bà Rịa - Vũng Tàu,1,Tối
2021-07-05,TP. Hồ Chí Minh,270,Tối
2021-07-05,Bình Dương,114,Tối
2021-07-05,Đồng Tháp,62,Tối
2021-07-05,Tiền Giang,11,Tối
2021-07-05,Phú Yên,11,Tối
2021-07-05,Khánh Hòa,10,Tối
2021-07-05,Đồng Nai,8,Tối
2021-07-05,An Giang,6,Tối
2021-07-05,Bình Phước,4,Tối
2021-07-05,Bà Rịa – Vũng Tàu,4,Tối
2021-07-05,Bình Định,3,Tối
2021-07-05,Tây Ninh,3,Tối
2021-07-05,Bắc Giang,3,Tối
2021-07-05,Quảng Ngãi,2,Tối
2021-07-05,Bắc Ninh,1,Tối
2021-07-05,Nghệ An,1,Tối
2021-07-05,Lâm Đồng,1,Tối
2021-07-06,TP. Hồ Chí Minh,230,Sáng
2021-07-06,Phú Yên,18,Sáng
2021-07-06,Đồng Nai,11,Sáng
2021-07-06,An Giang,10,Sáng
2021-07-06,Hưng Yên,5,Sáng
2021-07-06,Vĩnh Long,2,Sáng
2021-07-06,Hà Nam,1,Sáng
2021-07-06,Quảng Nam,4,Trưa
2021-07-06,Kiên Giang,2,Trưa
2021-07-06,TP. Hồ Chí Minh,209,Trưa
2021-07-06,Hà Nội,10,Trưa
2021-07-06,Phú Yên,7,Trưa
2021-07-06,Long An,6,Trưa
2021-07-06,Thanh Hoá,4,Trưa
2021-07-06,Bắc Giang,3,Trưa
2021-07-06,Lạng Sơn,1,Trưa
2021-07-06,Bắc Ninh,1,Trưa
2021-07-06,Hà Nam,1,Trưa
2021-07-06,Tây Ninh,2,Tối
2021-07-06,Quảng Nam,1,Tối
2021-07-06,Hà Nội,1,Tối
2021-07-06,TP. Hồ Chí Minh,271,Tối
2021-07-06,Đồng Tháp,99,Tối
2021-07-06,Bình Dương,92,Tối
2021-07-06,Phú Yên,16,Tối
2021-07-06,Long An,8,Tối
2021-07-06,Nghệ An,3,Tối
2021-07-06,Bắc Giang,2,Tối
2021-07-06,Bắc Ninh,2,Tối
2021-07-06,Hà Nội,2,Tối
2021-07-06,Trà Vinh,2,Tối
2021-07-06,Lạng Sơn,1,Tối
2021-07-06,Hưng Yên,1,Tối
2021-07-06,An Giang,1,Tối
2021-07-07,TP. Hồ Chí Minh,270,Sáng
2021-07-07,Phú Yên,2,Sáng
2021-07-07,Đồng Nai,2,Sáng
2021-07-07,Bà Rịa – Vũng Tàu,1,Sáng
2021-07-07,Hà Tĩnh,1,Sáng
2021-07-07,TP. Hồ Chí Minh,347,Trưa
2021-07-07,Long An,19,Trưa
2021-07-07,Quảng Ngãi,13,Trưa
2021-07-07,Bắc Ninh,6,Trưa
2021-07-07,Phú Yên,4,Trưa
2021-07-07,Trà Vinh,3,Trưa
2021-07-07,Bắc Giang,3,Trưa
2021-07-07,Nghệ An,2,Trưa
2021-07-07,Cà Mau,1,Trưa
2021-07-07,Bà Rịa - Vũng Tàu,1,Trưa
2021-07-07,Đắk Lắk,1,Trưa
2021-07-07,Tây Ninh,8,Tối
2021-07-07,An Giang,1,Tối
2021-07-07,TP. Hồ Chí Minh,149,Tối
2021-07-07,Bình Dương,60,Tối
2021-07-07,Khánh Hòa,41,Tối
2021-07-07,Vĩnh Long,24,Tối
2021-07-07,Tiền Giang,18,Tối
2021-07-07,Phú Yên,8,Tối
2021-07-07,Vĩnh Phúc,5,Tối
2021-07-07,Hưng Yên,5,Tối
2021-07-07,Đồng Tháp,5,Tối
2021-07-07,Hà Nội,3,Tối
